cluster,gene,prop_mal,prop_norm,mean_mal,mean_norm,p_prop,p_expr,p_combined,fdr_prop,fdr_expr,fdr_combined,sample
0,SLC29A1,0.051256776737309016,0.0198267244251916,0.12462913740164316,0.009377236915167803,3.6166208793864074e-16,1.815865258086701e-22,0,1.446648351754563e-15,6.355528403303454e-22,0,POG1329
0,EGFR,0.1877772301626417,0,0.4932780680428256,0,0,0,0,0,0,0,POG1329
0,PARP1,0.11286347954657466,0.05028323892035988,0.27959112702426303,0.03183711524446683,6.59097817441776e-27,1.173552176589561e-39,0,4.101053086304384e-26,7.302102432112825e-39,0,POG1329
0,CDK6,0.35534746180384424,0.10099966677774075,0.9652385300200328,0.0584697514441896,2.7111095639727697e-188,0,0,7.591106779123756e-187,0,0,POG1329
0,XIAP,0.14982750123213406,0.021326224591802733,0.37468087005670475,0.012706231037451245,2.24789785595286e-134,7.467443048585198e-253,0,4.1960759977786724e-133,1.0454420268019277e-251,0,POG1329
0,MDM2,0.05766387382947265,0.016161279573475507,0.14415562702919837,0.019577980041977045,6.135295950031858e-28,2.4786087039268672e-42,0,4.294707165022301e-27,1.735026092748807e-41,0,POG1329
0,BCL6,0.04928536224741252,1.3328890369876707e-4,0.11812151585495669,4.736237530765063e-5,5.077679589627337e-115,0,0,7.108751425478271e-114,0,0,POG1329
0,JAK1,0.14933464760965992,0.09223592135954682,0.37250688713678565,0.055500250680116874,1.4220960143072065e-15,6.56700165847019e-26,0,5.309158453413571e-15,2.451680619162204e-25,0,POG1329
0,JUN,0.09610645638245441,0.04368543818727091,0.24315058668035433,0.06229095472237255,4.697287337658494e-22,1.027681932410875e-30,0,2.391346280989779e-21,4.426937555000692e-30,0,POG1329
0,NRG1,0.019221291276490884,0.0023658780406531155,0.047088012920283424,9.413671956199308e-4,1.402303464945551e-19,1.1133627765379529e-36,0,6.544082836412573e-19,6.234831548612536e-36,0,POG1329
0,PTP4A3,0.01330704780680138,0.0014995001666111296,0.03136140177326764,6.050624495496663e-4,1.07340740189654e-14,6.514531932886216e-28,0,3.75692590663789e-14,2.6058127731544864e-27,0,POG1329
0,DCK,0.024149827501232134,0.004431856047984005,0.05785904145581225,0.002727814283592266,1.951030410292112e-18,6.729707323222605e-31,0,8.404438690489096e-18,3.140530084170549e-30,0,POG1329
0,FOS,0.08871365204534254,0.018560479840053316,0.22140335919831705,0.009547997930956698,8.277886137873301e-58,4.4694482027455636e-97,0,7.726027062015081e-57,4.171484989229193e-96,0,POG1329
0,KAT6B,0.1384918679152292,0.03385538153948684,0.35059082987387247,0.046190196776201585,2.9875089760574246e-78,1.2941904399595206e-128,0,3.346010053184315e-77,1.449493292754663e-127,0,POG1329
0,RAF1,0.10793494332183341,0.048917027657447515,0.2751117088884319,0.03660772790404251,7.070672231602409e-25,3.234258197303876e-36,0,3.959576449697349e-24,1.6465314459001549e-35,0,POG1329
0,KDM4B,0.08871365204534254,0.026891036321226258,0.2246368582914422,0.020066945593201043,9.448692950686523e-39,2.745874401243182e-59,0,7.558954360549218e-38,2.1966995209945455e-58,0,POG1329
0,HIF1A,0.1547560374568753,0.11649450183272242,0.39308290867168716,0.07141559284077141,3.8518608940992183e-7,2.4664402848203918e-14,1.7319479184152442e-14,1.2688482945268012e-6,8.124744467643644e-14,5.705240201838451e-14,POG1329
0,CASP8,0.032035485460818136,0.015894701766077973,0.08002104343290424,0.009502764775451122,6.071680126359702e-7,9.11888158945156e-9,7.429390436186623e-12,1.8889671504230185e-6,2.8369853833849298e-8,2.3113659134802827e-11,POG1329
0,FLT1,0.021192705766387383,0.009063645451516162,0.05422072569346809,0.005104406914974818,1.781320387373243e-6,2.6174010089110923e-8,4.6162407230099234e-11,5.2502074575211374e-6,7.328722824951058e-8,1.3605762130976615e-10,POG1329
0,PDCD1,0.001971414489896501,9.99666777740753e-5,0.0054790723101415095,4.279969970454204e-5,4.806388014040163e-4,1.6893389687713686e-8,5.598210917057145e-8,0.0013457886439312457,4.979104329010349e-8,1.5674990567760004e-7,POG1329
0,CLDN4,0.001971414489896501,0.0052649116961013,0.004268339131262246,0.0026751182966607318,0.9929525735555005,0.9781985903838984,0.9978886287840738,1,1,1,POG1329
0,PDCD1LG2,0.010842779694430755,0.15361546151282907,0.025733949519650925,0.09718569621977834,1,1,1,1,1,1,POG1329
0,ERBB2,0.006899950714637753,0.31642785738087303,0.01688166233255783,0.22639448728551076,1,1,1,1,1,1,POG1329
0,CLDN3,4.928536224741252e-4,0.07884038653782073,0.0013985916748364539,0.0869069331594866,1,1,1,1,1,1,POG1329
0,CD274,0.031542631838344014,0.31712762412529155,0.07868803015230351,0.37833638178147483,1,1,1,1,1,1,POG1329
0,CDK4,0.025135534746180386,0.2222259246917694,0.06035422772392006,0.1421569860562495,1,1,1,1,1,1,POG1329
0,RET,0.001971414489896501,0.5338887037654115,0.004992919379538965,0.48956342764284655,1,1,1,1,1,1,POG1329
0,CXCL1,0,0.03752082639120293,0,0.021407002747075483,1,1,1,1,1,1,POG1329
0,ESR1,0.023164120256283883,0.08517160946351217,0.058119434303276735,0.05121369031450417,1,1,1,1,1,1,POG1329
0,FLT3,0.009857072449482503,0.2044985004998334,0.025212567841115054,0.13428118909796616,1,1,1,1,1,1,POG1329
0,MET,0.012814194184327254,0.01576141286237921,0.031714469267444825,0.011990301856982672,0.8727258145776174,0.83326376329264,0.9487174626649102,1,1,1,POG1329
0,TNFRSF8,0.0049285362247412515,0.029456847717427525,0.012299099931825744,0.01661063565845579,0.9999999999999993,0.999999999945262,0.999999999978437,1,1,1,POG1329
