expression_type	gene	relevance	subject	disease_names	variant	X.rid	evidence	evidenceLevel	source.name	sourceId	createdBy	reviewStatus
reduced	RBBP8	sensitivity	olaparib [DB09074]	ovarian carcinoma	reduced RNA expression	#155:5549	pmid:24413181	NA	iprkb	1f89af2a-63a4-4f01-9019-0558ea92b628	#29:0	pending
reduced	MRE11A	sensitivity	PARP Inhibitor [c62554]	endometrial cancer	reduced RNA expression	#155:5550	pmid:24927325	NA	iprkb	9de3bee0-930a-49c1-bfeb-3260cba508c2	#29:0	pending
reduced	ARID1A	sensitivity	PARP Inhibitor [c62554]	breast cancer	reduced RNA expression	#155:5553	pmid:26069190	NA	iprkb	f519e412-9f74-48a7-8699-36bf98531f22	#29:0	pending
increased	GZMA	favourable prognosis	patient	liver cancer	increased RNA expression	#155:5558	pmid:25594174	NA	iprkb	836a0aef-302f-4f79-bd11-8970c951db85	#29:0	pending
increased	PRF1	favourable prognosis	patient	urinary bladder cancer	increased RNA expression	#155:5559	pmid:25594174	NA	iprkb	836a0aef-302f-4f79-bd11-8970c951db85	#29:0	pending
increased	MST1R	prognostic indicator	patient	gastroesophageal junction adenocarcinoma	increased protein expression	#155:5569	pmid:21543897	NA	iprkb	ac12701f-a43a-442b-be24-7509b504a4c0	#29:0	pending
increased	CPS1	unfavourable prognosis	patient	colorectal cancer	increased protein expression	#155:5570	pmid:25099619	NA	iprkb	35fef358-80da-4a68-a738-fbb62934c5ac	#29:0	pending
increased	IFNG	favourable prognosis	patient	lung carcinoma	increased protein expression	#155:5573	pmid:22419253	NA	iprkb	177d88e8-110a-4c15-9639-9fef142e33f7	#29:0	pending
reduced	IFNGR1	resistance	anti ctla4	melanoma	reduced RNA expression	#155:5574	pmid:27667683	NA	iprkb	b94b8319-5a79-43e2-8aed-d7a1e55aff4a	#29:0	pending
reduced	FAAP20	sensitivity	mitomycin c	NA	reduced RNA expression	#155:5579	pmid:22343915	NA	iprkb	d8d3eef3-0049-44df-b5d6-d53dea8219ee	#29:0	pending
